ciclo_academico,edad,numero_discapacidades,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,Status_codificado,Sexo_codificado,tipo_de_est_programa_codificado,tipo_de_ingreso_codificado,estatus_curso_codificado,discapacidad_codificado,region_codificado,tipo_de_pago_codificado,descripcion_beca_codificado,descripcion_descuento_codificado,convenios_contratos_codificado,formas_pago_codificado,tipo_discapacidad_codificado,curso_codificado
5,32.0,0,3.24,3.5,2.7,2.56,3.5,2.63,0,0,0,0,0,0,0,2,0,0,0,10,4,51
5,32.0,0,3.42,3.31,2.78,3.0,3.5,2.76,0,0,0,0,0,0,0,2,0,0,0,10,4,7
5,32.0,0,2.64,3.5,3.0,2.81,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,23
6,32.0,0,3.31,3.5,2.7,2.88,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,8
6,32.0,0,3.25,3.3,2.7,3.19,3.35,2.4,0,0,0,0,0,0,0,2,0,0,0,10,4,24
6,32.0,0,3.38,3.5,3.0,2.94,3.5,2.98,0,0,0,0,0,0,0,2,0,0,0,10,4,25
6,32.0,0,2.97,3.35,2.85,3.5,3.3,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,26
6,32.0,0,2.38,3.5,2.48,2.64,3.35,1.8,0,0,0,0,0,0,0,2,0,0,0,10,4,27
6,32.0,0,3.3,3.5,3.0,2.9,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,29
7,32.0,0,3.44,3.5,2.8,3.31,3.5,2.75,0,0,0,0,0,0,0,2,0,0,0,10,4,9
7,32.0,0,2.5,3.5,2.0,3.19,3.3,2.6,0,0,0,0,0,0,0,2,0,0,0,10,4,1
7,32.0,0,2.63,3.4,2.2,2.5,3.5,2.6,0,0,0,0,0,0,0,2,0,0,0,10,4,30
7,32.0,0,2.92,3.5,3.0,3.17,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,31
7,32.0,0,2.88,3.5,3.0,3.0,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,33
2,32.0,0,3.25,3.5,3.0,3.44,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,12
2,32.0,0,3.5,3.5,3.0,3.13,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,47
2,32.0,0,3.22,3.5,3.0,3.16,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,13
2,32.0,0,3.42,3.46,3.0,3.08,3.35,2.92,0,0,0,0,0,0,0,2,0,0,0,10,4,14
2,32.0,0,3.47,3.3,2.9,3.44,3.5,2.95,0,0,0,0,0,0,0,2,0,0,0,10,4,50
2,32.0,0,3.04,3.5,3.0,3.5,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,46
3,32.0,0,3.0,-1.0,3.2,1.0,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,0,10,4,15
3,32.0,0,2.69,-1.0,3.5,1.0,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,0,10,4,18
3,32.0,0,3.19,-1.0,3.5,1.0,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,0,10,4,16
3,32.0,0,3.1,-1.0,3.5,1.0,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,0,10,4,17
3,32.0,0,3.25,-1.0,3.5,1.0,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,0,10,4,43
3,32.0,0,3.0,-1.0,3.3,1.0,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,0,10,4,48
4,32.0,0,3.06,3.3,2.7,2.88,3.5,2.25,0,0,0,0,0,0,0,2,0,0,0,10,4,19
4,32.0,0,2.5,3.5,2.5,3.19,3.06,2.63,0,0,0,0,0,0,0,2,0,0,0,10,4,21
4,32.0,0,2.88,3.1,3.0,2.75,3.35,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,41
4,32.0,0,2.92,3.5,3.0,3.5,3.5,3.0,0,0,0,0,0,0,0,2,0,0,0,10,4,5
